IP_ES_25_N1,Z3_IB_4_N1,Z1_IB_10_N1,Z1_IB_5_N1,Z3_IB_8_N1,ECI_IB_4_N1,ECI_IB_5_N1,Gs(U)_IB_12_N1,Gs(U)_IB_68_N1,Gs(U)_IB_58_N1,Gs(U)_IB_60_N1,Z1_NO_sideL35_M,HP_NO_sideL35_CV,Z1_NO_sideR35_CV,Pb_NO_sideR35_S,IP_NO_sideL35_SI71,Z1_NO_PRT_CV,Z2_NO_AHR_CV,Gs(U)_NO_ALR_SI71,Z3_NO_UCR_S,Z3_NO_UCR_N1,ECI_NO_UCR_CV,Pa_NO_BSR_SI71,ISA_NO_NPR_S,Z3_NO_NPR_V,IP_NO_PLR_S,Pb_NO_PCR_V,ECI_NO_PCR_CV,class
5.59,14.91,13.69,6.45,12.11,28.79,32.4,0.06,0.09,0.04,0.04,0.69,-8.34,6.06,0.94,0.63,10.3,-10.42,0.51,0.69,23.12,0.64,0.76,-0.79,0.68,0.54,0.02,0.59,P
4.81,16.87,6.58,11.59,17.25,40.4,56.59,0.04,0.06,0.05,0.05,8.66,-4.56,6.69,0.8,0.62,9.22,2.26,0.55,1.32,2.34,0.52,0.49,-1.27,1.39,-0.11,0.02,0.62,P
5.36,13.81,8.25,8.77,14.82,32.42,61.74,0.03,0.06,0.07,0.05,1.07,-5.22,3.33,0.67,0.52,4.69,12.99,0.54,-0.69,-2.24,0.37,0.47,-0.74,2.03,0.58,0.01,0.56,P
6.1,73.66,6.41,11.14,37.36,38.26,55.93,0.04,0.19,0.06,0.04,2.39,-29.62,8.46,0.78,0.57,40.87,57.04,0.45,1.5,2.44,0.4,0.44,-0.28,0.43,0.77,0.02,0.65,P
-2.0,16.41,8.51,7.07,30.95,50.22,39.52,0.05,0.05,0.04,0.03,2.0,5.82,5.04,1.13,0.54,69.2,57.43,0.53,1.88,7.72,0.42,0.5,-1.12,0.91,0.71,0.01,0.65,P
12.34,16.4,7.97,7.7,33.18,31.36,30.71,0.05,0.07,0.08,0.05,1.01,-2.73,-59.76,0.84,0.58,12.96,-21.15,0.56,0.8,17.02,0.6,0.64,-1.12,1.4,0.02,0.01,0.52,P
6.75,22.31,10.19,9.39,21.56,86.33,48.58,0.09,0.05,0.06,0.04,0.75,-21.66,-56.67,0.67,0.55,-26.83,17.65,0.55,1.34,4.26,0.49,0.55,-0.57,0.82,0.41,0.02,0.61,P
10.22,21.79,11.5,15.6,18.87,33.94,32.36,0.07,0.12,0.04,0.05,0.95,-6.72,4.03,0.69,0.66,5.41,3.06,0.56,1.45,1.52,0.43,0.51,-0.7,1.04,0.41,0.03,0.03,P
-0.7,35.89,8.24,8.7,24.75,104.28,105.78,0.06,0.17,0.04,0.04,0.33,-43.66,2.63,1.01,0.52,3.97,-9.8,0.49,1.33,3.35,0.47,0.45,-0.23,0.59,0.55,0.02,0.63,P
5.6,95.03,7.27,13.36,24.62,41.53,51.37,0.05,0.05,0.08,0.06,0.5,-35.46,6.45,0.8,0.5,159.83,-3.19,0.48,1.43,4.46,0.45,0.45,-0.64,1.15,0.62,0.02,0.55,P
5.06,10.65,8.24,9.3,23.35,20.63,29.15,0.05,0.04,0.03,0.04,1.07,-2.31,5.87,0.88,0.64,4.84,16.49,0.54,-0.89,0.15,0.4,0.56,-0.83,1.57,0.09,0.01,0.57,P
5.46,25.88,12.17,8.45,18.09,78.02,87.92,0.05,0.06,0.04,0.05,0.57,-17.54,7.67,0.75,0.55,10.75,-6.11,0.53,-0.56,-1.95,0.4,0.49,-0.4,0.8,0.52,0.02,0.58,P
5.47,16.76,11.26,10.45,20.13,66.96,97.8,0.06,0.04,0.04,0.04,1.15,-4.06,5.11,1.06,0.58,6.89,3.14,0.54,-0.82,-0.67,0.31,0.59,-1.21,1.89,0.49,0.02,0.62,P
4.87,30.57,7.25,8.06,11.45,36.51,36.07,0.04,0.03,0.14,0.05,1.58,-3.59,4.86,0.94,0.56,4.23,6.87,0.53,1.18,5.96,0.44,0.51,-0.65,1.23,0.55,0.01,0.64,P
4.64,33.63,10.6,9.61,11.73,25.89,20.88,0.04,0.05,0.05,0.04,0.58,-7.38,12.21,0.9,0.61,10.99,-9.99,0.5,1.54,3.51,0.45,0.51,-0.18,0.6,0.53,0.02,0.62,P
